----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguments :- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input : D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resampling : under_sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classifier : RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samplingType : leastConfidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testsize : 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manualAnnotationsCount : 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxIterations : 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments : Typo3-RF_LC-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis of  Label Classification  : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
Ct,Ctl,H,Cr,,R TP,P FN,P FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5,1,400,,500,500,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iteration,#Rela,#Ind,Training,Testing,TP,FN,FP,Benefit,Cost Train,Cost test,Cost,ROI,f1,N%,,,,,,,,,,,,,,,,,,,,,
1,199,199,398,2262,925,688,206,108200,2653.333333,22620,12636.66667,7.562384595,0.58,14.96240602,,,,,,,,,,,,,,,,,,,,,
2,249,249,498,2162,871,622,210,114000,3320,21620,12470,8.141940658,0.6,18.72180451,,,,,,,,,,,,,,,,,,,,,
3,299,299,598,2062,827,569,204,118800,3986.666667,20620,12303.33333,8.655919805,0.61,22.48120301,,,,,,,,,,,,,,,,,,,,,
4,349,349,698,1962,771,523,210,113500,4653.333333,19620,12136.66667,8.351826421,0.63,26.2406015,,,,,,,,,,,,,,,,,,,,,
5,399,399,798,1862,765,475,166,136700,5320,18620,11970,10.42021721,0.66,30,,,,,,,,,,,,,,,,,,,,,
6,449,449,898,1762,731,424,150,146000,5986.666667,17620,11803.33333,11.36938718,0.67,33.7593985,,,,,,,,,,,,,,,,,,,,,
7,499,499,998,1662,693,375,138,152100,6653.333333,16620,11636.66667,12.07075337,0.69,37.51879699,,,,,,,,,,,,,,,,,,,,,
8,549,549,1098,1562,675,331,106,166700,7320,15620,11470,13.53356582,0.71,41.27819549,,,,,,,,,,,,,,,,,,,,,
9,599,599,1198,1462,653,323,78,161100,7986.666667,14620,11303.33333,13.25243291,0.72,45.03759398,,,,,,,,,,,,,,,,,,,,,
10,649,649,1298,1362,619,301,62,155900,8653.333333,13620,11136.66667,12.99880275,0.73,48.79699248,,,,,,,,,,,,,,,,,,,,,
11,699,699,1398,1262,587,269,44,156800,9320,12620,10970,13.2935278,0.74,52.55639098,,,,,,,,,,,,,,,,,,,,,
12,749,749,1498,1162,541,239,40,149000,9986.666667,11620,10803.33333,12.79203949,0.75,56.31578947,,,,,,,,,,,,,,,,,,,,,
13,799,799,1598,1062,497,204,34,144800,10653.33333,10620,10636.66667,12.61328737,0.78,60.07518797,,,,,,,,,,,,,,,,,,,,,
14,849,849,1698,962,451,180,30,134000,11320,9620,10470,11.79847182,0.78,63.83458647,,,,,,,,,,,,,,,,,,,,,
15,899,899,1798,862,413,142,18,134600,11986.66667,8620,10303.33333,12.06373342,0.81,67.59398496,,,,,,,,,,,,,,,,,,,,,
16,949,949,1898,762,369,123,12,122400,12653.33333,7620,10136.66667,11.07497534,0.82,71.35338346,,,,,,,,,,,,,,,,,,,,,
17,999,999,1998,662,323,108,8,107100,13320,6620,9970,9.74222668,0.82,75.11278195,,,,,,,,,,,,,,,,,,,,,
18,1049,1049,2098,562,275,83,6,95700,13986.66667,5620,9803.333333,8.761985719,0.84,78.87218045,,,,,,,,,,,,,,,,,,,,,
19,1099,1099,2198,462,227,54,4,86300,14653.33333,4620,9636.666667,7.955378762,0.87,82.63157895,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Passive Learning,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iteration,#LM Rela,#LM Ind,#LM Training,#LM Testing,TP,FN,FP,Benefit,Cost Train,Cost Test,Cost,ROI,LM f1,N %,,,,,,,,,,,,,,,,,,,,,
1,199,199,398,2262,931,709,200,101000,2653.333333,22620,12636.66667,6.992614086,0.57,14.96240602,,,,,,,,,,,,,,,,,,,,,
2,249,249,498,2062,854,607,177,114650,3320,20620,11970,8.578111947,0.61,19.453125,,,,,,,,,,,,,,,,,,,,,
3,299,299,598,1962,801,514,180,134500,3986.666667,19620,11803.33333,10.39508613,0.64,23.359375,,,,,,,,,,,,,,,,,,,,,
4,349,349,698,1862,749,451,182,139900,4653.333333,18620,11636.66667,11.02234317,0.65,27.265625,,,,,,,,,,,,,,,,,,,,,
5,399,399,798,1762,717,394,164,153300,5320,17620,11470,12.36530078,0.68,31.171875,,,,,,,,,,,,,,,,,,,,,
6,449,449,898,1662,678,360,153,151350,5986.666667,16620,11303.33333,12.3898555,0.69,35.078125,,,,,,,,,,,,,,,,,,,,,
7,499,499,998,1562,657,338,124,153300,6653.333333,15620,11136.66667,12.76533972,0.71,38.984375,,,,,,,,,,,,,,,,,,,,,
8,549,549,1098,1462,628,301,103,158350,7320,14620,10970,13.43482224,0.72,42.890625,,,,,,,,,,,,,,,,,,,,,
9,599,599,1198,1362,593,281,88,151600,7986.666667,13620,10803.33333,13.03270595,0.72,46.796875,,,,,,,,,,,,,,,,,,,,,
10,649,649,1298,1262,541,247,90,142500,8653.333333,12620,10636.66667,12.39705421,0.73,50.703125,,,,,,,,,,,,,,,,,,,,,
11,699,699,1398,1162,501,219,86,136700,9320,11620,10470,12.05635148,0.75,54.609375,,,,,,,,,,,,,,,,,,,,,
12,749,749,1498,1062,470,191,61,136450,9986.666667,10620,10303.33333,12.24328696,0.76,58.515625,,,,,,,,,,,,,,,,,,,,,
13,799,799,1598,962,432,174,49,126550,10653.33333,9620,10136.66667,11.48438014,0.77,62.421875,,,,,,,,,,,,,,,,,,,,,
14,849,849,1698,862,386,146,45,117750,11320,8620,9970,10.81043129,0.78,66.328125,,,,,,,,,,,,,,,,,,,,,
15,899,899,1798,762,352,134,29,107550,11986.66667,7620,9803.333333,9.970758245,0.79,70.234375,,,,,,,,,,,,,,,,,,,,,
16,949,949,1898,662,310,116,21,95950,12653.33333,6620,9636.666667,8.956762366,0.79,74.140625,,,,,,,,,,,,,,,,,,,,,
17,999,999,1998,562,270,102,11,83450,13320,5620,9470,7.812038015,0.79,78.046875,,,,,,,,,,,,,,,,,,,,,
18,1049,1049,2098,462,224,76,7,73650,13986.66667,4620,9303.333333,6.916517377,0.81,81.953125,,,,,,,,,,,,,,,,,,,,,
19,1099,1099,2198,362,176,66,5,54750,14653.33333,3620,9136.666667,4.992338563,0.81,85.859375,,,,,,,,,,,,,,,,,,,,,
